,cluster,motif,p-value,q-value,odds-ratio,count-genes-in-cluster,count-genes-bg,remainder-cluster,remainder-bg,tf-log2FC,tf-padj,tf-cluster,%-coverage,genes
61,MDE_TMDS,FOS,0.4180466682439783,0.4572998765297978,1.9051428571428568,1,25,350,16645,0.128423284470485,0.0224714868178632,None,0.2849002849002849,CXCL8
62,MDE,FOS,2.1294649785425745e-06,1.9083282307708453e-05,14.995098039215684,7,19,408,16587,0.128423284470485,0.0224714868178632,None,1.686746987951807,"TNFAIP6,HLA-DRA,NR3C1,FAS,NEFL,VEGFA,CSTA"
63,TPDE_TMDS,FOS,0.3892672071521406,0.44028766634198424,2.094169278996865,1,25,319,16676,0.128423284470485,0.0224714868178632,None,0.3125,PLAUR
64,TPDE,FOSL1,0.0872300186499816,0.15397419958670994,13.096875,1,5,256,16759,0.457374877937257,4.97135940657473e-09,None,0.3891050583657587,MMP9
65,TPDE_TMDS,FOSL1,0.0001261766647439,0.0006391122366375804,52.68454258675079,3,3,317,16698,0.457374877937257,4.97135940657473e-09,None,0.9375,"CDKN2A,CLU,PLAUR"
66,MDE_TMDS,FOSL2,0.060594289392817,0.11964804600446068,23.814285714285717,1,2,350,16668,0.602683229408131,4.6791453681317196e-30,TMDE,0.2849002849002849,BRCA1
67,TPDE_TMDS,FOSL2,0.0010438130972193,0.0036849765401832865,105.0377358490566,2,1,318,16700,0.602683229408131,4.6791453681317196e-30,TMDE,0.625,"CLU,PLAUR"
68,MDE_TMDS,FOXA1,0.0024747703993173,0.008356833377404796,47.76504297994269,2,2,349,16668,0.215918621908594,9.80513126179571e-08,None,0.5698005698005698,"APOB,BRCA1"
69,TPDE_TMDS,FOXA1,0.0731007085808228,0.13625972079465373,17.45141065830721,1,3,319,16698,0.215918621908594,9.80513126179571e-08,None,0.3125,CEBPA
70,TMDE,FOXA1,0.0715458814435392,0.13443701916406964,17.85042735042735,1,3,312,16705,0.215918621908594,9.80513126179571e-08,None,0.3194888178913738,CFTR
71,TPDS,FOXM1,0.0316667645849245,0.07163452571152823,inf,1,0,538,16482,-0.354479126794991,2.3632890337842603e-09,TPDE_TMDS,0.1855287569573284,LAMA2
72,TPDE,FOXO1,0.1668239638738921,0.23415652760612565,5.953125,1,11,256,16753,-0.115832126337821,0.0001113877245597,None,0.3891050583657587,MCM5
73,TPDS_TMDE,FOXO1,0.185119654124084,0.25674332982685455,5.300285080772886,1,11,287,16722,-0.115832126337821,0.0001113877245597,None,0.3472222222222222,CDKN1C
74,MDS,FOXO1,0.0885182244919714,0.15408473998705655,11.811188811188812,1,11,130,16879,-0.115832126337821,0.0001113877245597,None,0.7633587786259541,PCK1
75,TPDS,FOXO1,0.0056028868168385,0.017641522004369872,10.25,3,9,536,16473,-0.115832126337821,0.0001113877245597,None,0.5565862708719851,"ABCB1,PCK2,G6PC"
76,MDE,FOXO1,0.2562934469925007,0.32105576961963794,3.646464646464647,1,11,414,16595,-0.115832126337821,0.0001113877245597,None,0.2409638554216867,CCND1
77,TPDE_TMDS,FOXO1,0.0205117997646754,0.049783847345514255,10.50377358490566,2,10,318,16691,-0.115832126337821,0.0001113877245597,None,0.625,"CCNB1,CCNB2"
78,TPDE,FOXO3,0.1917760737989919,0.259789681367239,5.037259615384615,1,13,256,16751,0.292091164449791,4.43609254862827e-22,None,0.3891050583657587,CDKN1A
79,MDS_TMDE,FOXO3,0.0783919857359353,0.14382151713758207,13.282574568288856,1,13,98,16909,0.292091164449791,4.43609254862827e-22,None,1.0101010101010102,PLAU
80,MDE_TMDS,FOXO3,0.2529386701329226,0.31856600076200525,3.663736263736264,1,13,350,16657,0.292091164449791,4.43609254862827e-22,None,0.2849002849002849,BNIP3L
81,MDE,FOXO3,0.2920909550756829,0.34648464252891076,3.0854700854700856,1,13,414,16593,0.292091164449791,4.43609254862827e-22,None,0.2409638554216867,SOD2
82,TPDE,GATA2,0.1145753818628744,0.18605779844040646,9.354910714285714,1,7,256,16757,-0.2492984221004,2.03017931069884e-06,MDS_TMDE,0.3891050583657587,CYBB
